
=== 2026-05-27T21:02:13.450305+00:00 golang pid=718789 ===
Linux 7.0.10-arch1-1 (sand) 	05/27/2026 	_x86_64_	(32 CPU)

02:02:13 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
02:12:20 PM  1000    725434   11.00   79.00    0.00    0.00   90.00     6  proxy-go
02:12:21 PM  1000    725434    8.00   81.00    0.00    0.00   89.00     6  proxy-go
02:12:22 PM  1000    725434   10.00   80.00    0.00    0.00   90.00     6  proxy-go
02:12:23 PM  1000    725434    7.00   80.00    0.00    0.00   87.00     6  proxy-go
02:12:24 PM  1000    725434   13.00   91.00    0.00    0.00  104.00     6  proxy-go
02:12:25 PM  1000    725434   14.00   95.00    0.00    0.00  109.00     6  proxy-go
02:12:26 PM  1000    725434   14.85   96.04    0.00    0.00  110.89     6  proxy-go
02:12:27 PM  1000    725434   14.00   98.00    0.00    0.00  112.00     6  proxy-go
02:12:28 PM  1000    725434   14.00  101.00    0.00    0.00  115.00     6  proxy-go
02:12:29 PM  1000    725434   13.00   91.00    0.00    0.00  104.00     6  proxy-go
02:12:30 PM  1000    725434   12.00   86.00    0.00    0.00   98.00     6  proxy-go
02:12:31 PM  1000    725434   11.00   85.00    0.00    0.00   96.00     6  proxy-go
02:12:32 PM  1000    725434   12.00   89.00    0.00    0.00  101.00     6  proxy-go
02:12:33 PM  1000    725434   11.00   85.00    0.00    0.00   96.00     6  proxy-go
02:12:34 PM  1000    725434   12.00   88.00    0.00    0.00  100.00     6  proxy-go
02:12:35 PM  1000    725434   11.00   81.00    0.00    0.00   92.00     6  proxy-go
Average:     1000    725434   11.70   86.67    0.00    0.00   98.37     -  proxy-go

=== 2026-05-27T21:12:50.949717+00:00 golang pid=725717 ===
Linux 7.0.10-arch1-1 (sand) 	05/27/2026 	_x86_64_	(32 CPU)

02:12:50 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
02:12:51 PM  1000    725717   12.00   87.00    0.00    0.00   99.00    22  proxy-go
