
=== 2026-05-27T21:00:42.142177+00:00 tokio-splice2 pid=717482 ===
Linux 7.0.10-arch1-1 (sand) 	05/27/2026 	_x86_64_	(32 CPU)

02:00:42 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
02:05:17 PM  1000    720580    7.00   70.00    0.00    0.00   77.00    22  proxy
02:05:18 PM  1000    720580    8.00   74.00    0.00    0.00   82.00    22  proxy
02:05:19 PM  1000    720580   10.00  100.00    0.00    0.00  110.00    22  proxy
02:05:20 PM  1000    720580   10.00  100.00    0.00    0.00  110.00    22  proxy
02:05:21 PM  1000    720580   11.00  100.00    0.00    0.00  111.00    22  proxy
02:05:22 PM  1000    720580   10.00  100.00    0.00    0.00  110.00    22  proxy
02:05:23 PM  1000    720580   11.00  100.00    0.00    0.00  111.00    22  proxy
02:05:24 PM  1000    720580   11.00   99.00    0.00    0.00  110.00    22  proxy
02:05:25 PM  1000    720580   11.00  100.00    0.00    0.00  111.00    22  proxy
02:05:26 PM  1000    720580    9.00  101.00    0.00    0.00  110.00    22  proxy
02:05:27 PM  1000    720580   11.00  100.00    0.00    0.00  111.00    22  proxy
02:05:28 PM  1000    720580   10.00   99.00    0.00    0.00  109.00    22  proxy
02:05:29 PM  1000    720580   11.00  100.00    0.00    0.00  111.00    22  proxy
02:05:30 PM  1000    720580   10.00  101.00    0.00    0.00  111.00    22  proxy
02:05:31 PM  1000    720580   12.00   99.00    0.00    0.00  111.00    22  proxy
02:05:32 PM  1000    720580   10.00  100.00    0.00    0.00  110.00    22  proxy
02:05:33 PM  1000    720580   11.00  100.00    0.00    0.00  111.00    22  proxy
02:05:34 PM  1000    720580   10.00  100.00    0.00    0.00  110.00    22  proxy
02:05:35 PM  1000    720580   11.00   99.00    0.00    0.00  110.00    22  proxy
02:05:36 PM  1000    720580   10.00  100.00    0.00    0.00  110.00    22  proxy
02:05:37 PM  1000    720580    9.00  102.00    0.00    0.00  111.00    22  proxy
02:05:38 PM  1000    720580   11.00   98.00    0.00    0.00  109.00    22  proxy
02:05:39 PM  1000    720580    9.00  101.00    0.00    0.00  110.00    22  proxy
02:05:40 PM  1000    720580   12.00   99.00    0.00    0.00  111.00    22  proxy
02:05:41 PM  1000    720580   12.00   98.00    0.00    0.00  110.00    22  proxy
02:05:42 PM  1000    720580   11.00   99.00    0.00    0.00  110.00    22  proxy
02:05:43 PM  1000    720580   11.00  100.00    0.00    0.00  111.00    22  proxy
02:05:44 PM  1000    720580   11.00   98.00    0.00    0.00  109.00    22  proxy
02:05:45 PM  1000    720580   10.00  100.00    0.00    0.00  110.00    22  proxy
Average:     1000    720580   10.23   96.77    0.00    0.00  107.00     -  proxy

=== 2026-05-27T21:08:18.734182+00:00 tokio-splice2 pid=722724 ===
Linux 7.0.10-arch1-1 (sand) 	05/27/2026 	_x86_64_	(32 CPU)

02:08:18 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
02:08:19 PM  1000    722724   10.00   94.00    0.00    0.00  104.00    22  proxy
02:08:20 PM  1000    722724    8.00  102.00    0.00    0.00  110.00    22  proxy
02:08:21 PM  1000    722724   12.00  100.00    0.00    0.00  112.00    22  proxy
02:08:22 PM  1000    722724   10.00  101.00    0.00    0.00  111.00    22  proxy
02:08:23 PM  1000    722724   11.00  100.00    0.00    0.00  111.00    22  proxy
02:08:24 PM  1000    722724    9.00  100.00    0.00    0.00  109.00    22  proxy
02:08:25 PM  1000    722724   10.00  101.00    0.00    0.00  111.00    22  proxy
02:08:26 PM  1000    722724   11.00  101.00    0.00    0.00  112.00    22  proxy
02:08:27 PM  1000    722724   12.00  100.00    0.00    0.00  112.00    22  proxy
02:08:28 PM  1000    722724   11.00  101.00    0.00    0.00  112.00    22  proxy
02:08:29 PM  1000    722724   11.00  100.00    0.00    0.00  111.00    22  proxy
02:08:30 PM  1000    722724   11.00  102.00    0.00    0.00  113.00    22  proxy
02:08:31 PM  1000    722724   10.00  101.00    0.00    0.00  111.00    22  proxy
02:08:32 PM  1000    722724   10.00  102.00    0.00    0.00  112.00    22  proxy
02:08:33 PM  1000    722724   10.00  102.00    0.00    0.00  112.00    22  proxy
02:08:34 PM  1000    722724   10.00   99.00    0.00    0.00  109.00    22  proxy
02:08:35 PM  1000    722724   12.00   98.00    0.00    0.00  110.00    22  proxy
02:08:36 PM  1000    722724   10.00  100.00    0.00    0.00  110.00    22  proxy
02:08:37 PM  1000    722724    9.00  100.00    0.00    0.00  109.00    22  proxy
02:08:38 PM  1000    722724   10.00  101.00    0.00    0.00  111.00    22  proxy
02:08:39 PM  1000    722724   10.00   99.00    0.00    0.00  109.00    22  proxy
02:08:40 PM  1000    722724   10.00  100.00    0.00    0.00  110.00    22  proxy
02:08:41 PM  1000    722724   10.00   99.00    0.00    0.00  109.00    22  proxy
02:08:42 PM  1000    722724   10.89   97.03    0.00    0.00  107.92    22  proxy
02:08:43 PM  1000    722724   10.00  100.00    0.00    0.00  110.00    22  proxy
02:08:44 PM  1000    722724   12.00   96.00    0.00    0.00  108.00    22  proxy
02:08:45 PM  1000    722724   12.00   98.00    0.00    0.00  110.00    22  proxy
02:08:46 PM  1000    722724   10.00   98.00    0.00    0.00  108.00    22  proxy
02:08:47 PM  1000    722724   13.00   97.00    0.00    0.00  110.00    22  proxy
02:08:48 PM  1000    722724    9.00  100.00    0.00    0.00  109.00    22  proxy
Average:     1000    722724   10.46   99.63    0.00    0.00  110.10     -  proxy
